Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Jordan WilkinsJ. Wilkins,IND,4,13,58,4.46,14.5,9,0,2
Anthony SchwartzA. Schwartz,CLE,11,4,57,14.25,5.2,31t,1,2
Rashid ShaheedR. Shaheed,NO,12,4,57,14.25,4.8,44t,1,2
Corey ClementC. Clement,ARI,9,15,55,3.67,6.1,12,1,6
Isaiah McKenzieI. McKenzie,BUF,15,9,55,6.11,3.7,18,1,3
C.J. MooreC. Moore,DET,11,2,55,27.50,5.0,42,0,2
Andy DaltonA. Dalton,NO,14,30,54,1.80,3.9,14,0,6
Trestan EbnerT. Ebner,CHI,17,24,54,2.25,3.2,11,0,2
Equanimeous St. BrownE. St. Brown,CHI,16,6,54,9.00,3.4,41,0,2
Chris StrevelerC. Streveler,NYJ,2,9,54,6.00,27.0,14,0,1
D.J. MooreD. Moore,CAR,17,10,53,5.30,3.1,11,0,3
Ke'Shawn VaughnK. Vaughn,TB,15,17,53,3.12,3.5,12,0,3
Kevin HarrisK. Harris,NE,5,18,52,2.89,10.4,14t,1,3
Cooper KuppC. Kupp,LA,9,9,52,5.78,5.8,20t,1,4
Phillip LindsayP. Lindsay,IND,3,15,49,3.27,16.3,15,0,1
Treylon BurksT. Burks,TEN,11,4,47,11.75,4.3,20,0,3
CeeDee LambC. Lamb,DAL,17,10,47,4.70,2.8,14,0,3
Julio JonesJ. Jones,TB,10,5,45,9.00,4.5,15,0,4
Joshua DobbsJ. Dobbs,TEN,2,8,44,5.50,22.0,11,0,4
Greg DortchG. Dortch,ARI,16,7,44,6.29,2.8,20,0,3
Spencer BrownS. Brown,CAR,2,9,43,4.78,21.5,7,0,1
Snoop ConnerS. Conner,JAX,8,12,42,3.50,5.2,8,1,2
Isaiah SpillerI. Spiller,LAC,6,18,41,2.28,6.8,11,0,2
Davis WebbD. Webb,NYG,1,6,41,6.83,41.0,14t,1,2
Mack HollinsM. Hollins,LV,17,4,40,10.00,2.4,17,0,2
Jerry JeudyJ. Jeudy,DEN,15,4,40,10.00,2.7,14,0,4
Jameson WilliamsJ. Williams,DET,6,1,40,40.00,6.7,40,0,1
Kendrick BourneK. Bourne,NE,16,6,39,6.50,2.4,29,0,2
Gunner OlszewskiG. Olszewski,PIT,16,8,39,4.88,2.4,18,0,3
Phillip WalkerP. Walker,CAR,6,6,39,6.50,6.5,20,0,3
Mitchell TrubiskyM. Trubisky,PIT,7,19,38,2.00,5.4,9,2,7
Dwayne WashingtonD. Washington,NO,12,11,38,3.45,3.2,8,0,2
Dante PettisD. Pettis,CHI,17,2,37,18.50,2.2,29,0,2
Colt McCoyC. McCoy,ARI,4,14,36,2.57,9.0,9,0,5
Kalif RaymondK. Raymond,DET,17,7,36,5.14,2.1,12,0,4
Sam HowellS. Howell,WAS,1,5,35,7.00,35.0,10,1,4
Chatarius AtwellC. Atwell,LA,13,9,34,3.78,2.6,11t,1,2
Jimmy GaroppoloJ. Garoppolo,SF,11,23,33,1.43,3.0,6,2,11
Nyheim HinesN. Hines,IND/BUF,16,24,33,1.38,2.1,9,1,2
Tyreek HillT. Hill,MIA,17,7,32,4.57,1.9,10,1,3
John WolfordJ. Wolford,LA,3,8,32,4.00,10.7,14,0,2
Mecole HardmanM. Hardman,KC,8,4,31,7.75,3.9,25t,2,3
Patrick TaylorP. Taylor,GB,14,10,31,3.10,2.2,6,0,2
Anthony McFarlandA. McFarland,PIT,1,6,30,5.00,30.0,14,0,3
Michael PittmanM. Pittman,IND,16,3,30,10.00,1.9,19,0,2
Montrell WashingtonM. Washington,DEN,15,5,30,6.00,2.0,19,0,0
Trayveon WilliamsT. Williams,CIN,8,6,30,5.00,3.8,16,0,1
Terry McLaurinT. McLaurin,WAS,17,7,29,4.14,1.7,12,0,2
Giovani BernardG. Bernard,TB,8,8,28,3.50,3.5,8,0,0
Teddy BridgewaterT. Bridgewater,MIA,5,3,27,9.00,5.4,11,0,2
Connor HeywardC. Heyward,PIT,17,2,27,13.50,1.6,21,0,2
Tevin ColemanT. Coleman,SF,5,12,26,2.17,5.2,14,1,2
Myles GaskinM. Gaskin,MIA,4,10,26,2.60,6.5,10,0,2
Kyle JuszczykK. Juszczyk,SF,16,7,26,3.71,1.6,9,1,5
Armani RogersA. Rogers,WAS,11,2,26,13.00,2.4,24,0,1
Deven ThompkinsD. Thompkins,TB,5,2,26,13.00,5.2,17,0,1
D.J. TurnerD. Turner,LV,9,4,26,6.50,2.9,18,0,1
Jaylen WaddleJ. Waddle,MIA,17,3,26,8.67,1.5,9,0,0
Diontae JohnsonD. Johnson,PIT,17,7,25,3.57,1.5,8,0,1
Jalen ReagorJ. Reagor,MIN,17,4,25,6.25,1.5,17,0,1
Jonathan WardJ. Ward,TEN,3,5,25,5.00,8.3,12,0,2
Justin JeffersonJ. Jefferson,MIN,17,4,24,6.00,1.4,10,1,2
David JohnsonD. Johnson,NO,5,12,24,2.00,4.8,5,0,0
Tony JonesT. Jones,NO/SEA,6,10,24,2.40,4.0,7,0,3
Skyy MooreS. Moore,KC,16,3,24,8.00,1.5,12,0,1
George PickensG. Pickens,PIT,17,3,24,8.00,1.4,22,1,2
